TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
TRPL3;25,34;6,86;9,12;1,31;0,81;69,74;70,49;54,17;7,01;7,13;0,93;0,17;4,94;8,10;-0,98;2,21;14,38;8,83;12,40;0,61;0,39;0,16;24,55;36,20;88.067,58
TRPL4;20,50;8,48;7,38;1,06;0,65;69,74;70,49;54,17;5,67;7,13;0,93;0,17;4,00;6,55;-0,80;2,21;14,38;8,83;12,40;0,61;0,39;0,16;24,55;36,20;38.534.204,97
TUPY3;19,45;;10,05;1,17;0,55;16,17;6,91;5,40;7,86;9,67;1,81;0,27;0,54;1,90;-1,11;2,31;11,68;5,44;7,67;0,47;0,53;1,01;10,64;25,61;16.285.040,69
TXRX3;159,89;;31,81;-2,34;3,69;31,55;23,55;20,38;27,52;19,06;8,31;;6,48;-2,61;-5,43;0,18;-7,35;11,61;-28,89;-1,58;2,58;0,57;3,62;;514.609,38
TXRX4;11,88;;2,36;-0,17;0,27;31,55;23,55;20,38;2,04;19,06;8,31;;0,48;-0,19;-0,40;0,18;-7,35;11,61;-28,89;-1,58;2,58;0,57;3,62;;921.563,81
UCAS3;3,88;11,41;17,21;1,60;1,24;39,56;11,07;10,22;15,90;13,35;-2,54;-0,26;1,76;3,79;-2,53;2,82;9,30;7,22;6,49;0,78;0,22;0,71;-9,32;;642.590,28
UGPA3;18,38;2,39;62,24;2,16;0,62;6,76;1,50;0,37;15,16;24,56;9,40;1,34;0,23;2,12;-1,15;2,78;3,47;1,00;3,57;0,29;0,71;2,72;5,68;-20,28;148.874.749,36
UNIP3;29,80;2,64;133,70;2,10;0,74;26,07;10,56;0,71;8,96;;0,87;0,20;0,95;8,62;-1,12;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;72.138,36
UNIP5;27,85;5,13;124,95;1,96;0,69;26,07;10,56;0,71;8,38;;0,87;0,20;0,88;8,06;-1,05;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;23.729,50
UNIP6;24,35;3,56;109,25;1,71;0,61;26,07;10,56;0,71;7,32;;0,87;0,20;0,77;7,04;-0,92;1,34;1,57;0,55;11,97;0,35;0,65;0,78;31,46;21,32;3.881.305,44
