TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA
AZEV4;5,37;;-0,22;-0,13;0,53;-159,65;-329,52;-533,18;-0,36;-0,92;-0,37;;1,19;-0,18;-0,84;0,11;59,03;-237,00;61,63;-4,02;5,02;0,44;-29,80;;1.020.443,19
AZUL4;22,59;;-3,27;-2,95;1,51;-0,78;-11,73;-74,27;-20,72;-34,85;-14,13;;2,43;-4,60;-1,87;0,37;90,10;-46,19;-15,39;-0,51;1,51;0,62;14,54;;513.487.358,14
B3SA3;52,10;2,75;34,25;4,31;2,61;100,00;59,44;48,68;28,05;26,56;-1,50;-0,23;16,67;56,66;-3,67;1,19;12,58;7,61;10,47;0,61;0,39;0,16;23,81;22,64;601.321.999,97
BAHI3;89,51;;-10,89;1,87;0,48;37,60;-21,32;-22,67;-11,58;-10,68;0,90;-0,15;2,47;-7,59;-0,55;0,69;-17,21;-4,38;-13,86;0,25;0,75;0,19;;;119.969,03
BALM3;13,50;6,81;31,55;1,22;0,69;51,76;5,48;2,81;16,17;16,26;2,14;0,16;0,89;2,52;-1,68;1,88;3,88;2,20;2,12;0,57;0,43;0,78;5,12;-19,47;17.873,80
BALM4;10,08;9,13;23,55;0,91;0,52;51,76;5,48;2,81;12,07;16,26;2,14;0,16;0,66;1,88;-1,25;1,88;3,88;2,20;2,12;0,57;0,43;0,78;5,12;-19,47;14.095,37
BAUH4;88,00;0,98;17,11;6,41;3,79;25,27;8,87;14,91;28,75;26,54;-2,21;-0,49;2,55;21,84;-8,47;1,46;37,43;22,18;9,01;0,59;0,41;1,49;8,15;23,02;59.932,55
BAZA3;33,33;11,65;3,59;0,45;0,05;34,43;27,13;18,28;2,42;2,42;;;0,66;-0,18;-0,08;0,57;12,52;1,34;;0,11;0,89;0,07;6,35;8,48;99.863,97
BBAS3;33,52;5,49;5,59;0,94;0,06;13,61;3,41;11,90;19,53;19,53;;;0,67;-0,32;-0,13;0,75;16,80;1,03;;0,06;0,94;0,09;-2,23;7,20;722.955.383,00
BBDC3;19,73;9,58;8,69;1,35;0,14;-2,42;-6,38;22,82;-31,09;-32,54;;;1,98;-1,43;-0,27;0,83;15,55;1,62;;0,10;0,90;0,07;4,51;6,55;126.164.198,56
BBDC4;21,57;9,64;9,50;1,48;0,15;-2,42;-6,38;22,82;-33,99;-32,54;;;2,17;-1,56;-0,30;0,83;15,55;1,62;;0,10;0,90;0,07;4,51;6,55;1.031.362.044,08
BBML3;0,00;;0,00;0,00;0,00;9,04;4,18;2,26;0,00;6,15;6,15;1,30;0,00;0,00;0,00;1,09;11,38;2,07;4,62;0,18;0,82;0,92;;;
BBRK3;2,66;;-1,36;0,37;0,24;72,37;-53,25;-51,99;-1,33;-0,56;0,77;-0,22;0,71;3,13;-0,31;1,49;-27,32;-17,56;-29,61;0,64;0,36;0,34;-13,43;;2.065.314,17
BBSE3;28,64;9,78;8,77;9,40;4,91;;;;6,73;6,73;;;;42,10;-9,13;1,34;107,08;55,99;;0,52;0,48;0,00;;14,01;145.235.804,89
BDLL3;24,01;;-0,37;3,05;0,05;-30,98;-156,33;-193,35;-0,45;-2,98;-2,70;18,15;0,71;-0,23;-0,07;0,62;-831,33;-12,49;-35,48;0,02;0,98;0,06;-26,09;;2.401,00
BDLL4;9,44;;-0,14;1,20;0,02;-30,98;-156,33;-193,35;-0,18;-2,98;-2,70;18,15;0,28;-0,09;-0,03;0,62;-831,33;-12,49;-35,48;0,02;0,98;0,06;-26,09;;24.716,47
BEEF3;12,97;;19,79;10,88;0,39;19,26;8,70;1,82;4,13;7,67;3,54;9,32;0,36;1,28;-1,14;1,88;54,99;1,98;11,35;0,04;0,96;1,09;19,63;;135.926.339,31
BEES3;6,12;5,65;8,30;1,24;0,07;37,73;16,09;11,37;5,87;5,90;;;0,94;-0,50;-0,17;0,80;14,97;0,86;;0,06;0,94;0,08;3,69;8,54;183.369,53
BEES4;6,25;5,20;8,48;1,27;0,07;37,73;16,09;11,37;5,99;5,90;;;0,96;-0,51;-0,17;0,80;14,97;0,86;;0,06;0,94;0,08;3,69;8,54;39.983,36
BFRE11;0,00;;0,00;0,00;0,00;;;;0,00;;-12,33;-0,28;;0,00;0,00;13,26;6,67;6,42;-1,16;0,96;0,04;0,00;;;
BFRE12;0,00;;0,00;0,00;0,00;;;;0,00;;-12,33;-0,28;;0,00;0,00;13,26;6,67;6,42;-1,16;0,96;0,04;0,00;;;
BGIP3;42,60;4,60;8,02;1,45;0,11;59,25;16,75;11,97;5,72;4,55;;;0,96;-11,84;-0,31;0,99;18,03;1,39;;0,08;0,92;0,12;5,66;64,33;4.291,50
BGIP4;25,08;8,60;4,72;0,85;0,07;59,25;16,75;11,97;3,37;4,55;;;0,56;-6,97;-0,18;0,99;18,03;1,39;;0,08;0,92;0,12;5,66;64,33;92.062,73
BIDI11;37,51;0,48;155,26;4,12;0,84;51,80;0,04;6,49;24.969,69;24.969,69;;;10,07;8,65;-2,19;1,19;2,65;0,54;;0,21;0,79;0,08;;;24.326.487,42
BIDI3;12,10;0,49;150,25;3,98;0,82;51,80;0,04;6,49;24.164,21;24.969,69;;;9,75;8,37;-2,12;1,19;2,65;0,54;;0,21;0,79;0,08;;;6.275.992,39
BIDI4;13,00;0,62;161,42;4,28;0,88;51,80;0,04;6,49;25.961,55;24.969,69;;;10,47;9,00;-2,27;1,19;2,65;0,54;;0,21;0,79;0,08;;;28.872.975,83
BIOM3;17,00;;-17,32;7,67;2,83;20,69;-318,59;-372,35;-20,24;-22,54;-2,31;0,87;64,47;15,94;-4,18;2,21;-44,31;-16,32;-16,17;0,37;0,63;0,04;;;2.192.563,33
BKBR3;11,50;0,44;-258,44;1,51;0,76;61,65;1,71;-0,36;53,80;58,38;4,59;0,13;0,92;33,02;-0,97;1,12;-0,58;-0,30;1,36;0,51;0,49;0,83;433,99;;24.926.884,00
BMEB3;16,00;3,90;5,98;0,90;0,08;57,90;10,06;6,07;3,61;3,41;;;0,36;0,41;-0,19;1,58;15,02;1,41;;0,09;0,91;0,23;-5,92;;47.304,85
BMEB4;13,71;5,01;5,12;0,77;0,07;57,90;10,06;6,07;3,09;3,41;;;0,31;0,35;-0,16;1,58;15,02;1,41;;0,09;0,91;0,23;-5,92;;116.157,56
BMGB4;5,54;4,51;8,77;0,82;0,15;65,58;1,55;10,23;58,09;58,09;;;0,90;-0,39;-0,17;0,02;9,35;1,70;;0,18;0,72;0,17;;;5.930.718,39
BMIN3;19,75;7,09;33,32;0,77;0,49;77,15;28,22;21,75;25,68;25,79;;;7,25;3,18;-0,73;1,87;2,31;1,47;;0,63;0,37;0,07;5,44;-8,61;76.064,18
BMIN4;20,30;6,90;34,25;0,79;0,50;77,15;28,22;21,75;26,39;25,79;;;7,45;3,27;-0,75;1,87;2,31;1,47;;0,63;0,37;0,07;5,44;-8,61;7.308,11
BMKS3;187,00;3,25;33,43;0,48;0,43;26,71;-30,79;16,20;-17,59;11,84;29,43;-0,80;5,42;0,54;-2,42;28,58;1,44;1,27;-3,35;0,89;0,11;0,08;-13,82;-25,48;16.297,06
BNBR3;85,98;5,61;4,18;1,32;0,13;45,29;45,63;32,26;2,95;2,95;;;1,35;-3,35;-0,16;0,86;31,65;3,01;;0,10;0,90;0,09;4,71;18,37;49.014,52
BOBR3;0,00;;0,00;0,00;0,00;37,90;8,79;-0,79;0,00;5,82;2,73;;0,00;0,00;0,00;0,61;3,24;-1,23;570,23;-0,38;1,38;1,56;-1,67;;
BOBR4;2,35;;-73,04;-2,37;0,90;37,90;8,79;-0,79;6,56;5,82;2,73;;0,58;-3,31;-1,58;0,61;3,24;-1,23;570,23;-0,38;1,38;1,56;-1,67;;278.183,08
BPAC11;78,69;1,70;30,71;3,11;0,29;-2,33;11,26;17,24;47,04;47,04;;;5,30;2,83;-0,91;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;244.089.822,22
BPAC3;37,11;1,20;43,45;4,40;0,41;-2,33;11,26;17,24;66,55;47,04;;;7,49;4,00;-1,28;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;58.426,00
BPAC5;22,49;1,98;26,33;2,66;0,25;-2,33;11,26;17,24;40,33;47,04;;;4,54;2,42;-0,78;1,18;10,12;0,94;;0,09;0,91;0,05;-0,86;14,56;60.429,36
BPAN4;9,77;1,71;19,94;2,34;0,35;50,60;3,58;6,73;37,43;37,43;;;1,34;-1,86;-0,61;0,69;11,76;1,75;;0,15;0,85;0,26;8,37;49,77;43.552.836,33
BPAR3;182,07;8,78;5,55;1,22;0,19;76,82;31,24;18,60;3,30;3,30;;;1,03;-1,46;-0,40;0,81;22,01;3,34;;0,15;0,85;0,18;8,00;16,96;
BPAT33;0,00;;0,00;0,00;0,00;51,56;21,77;5,61;0,00;0,00;;;0,00;;0,00;;9,46;1,35;;0,14;0,86;0,24;14,99;-24,79;
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;
BRAP3;32,90;2,21;2.030,20;1,09;1,04;;;;-3.084,68;-3.322,84;-6,94;0,00;;41,33;-1,09;2,00;0,05;0,05;-0,04;0,95;0,05;0,00;;;768.569,61
BRAP4;36,70;2,18;2.264,69;1,21;1,16;;;;-3.440,96;-3.322,84;-6,94;0,00;;46,10;-1,22;2,00;0,05;0,05;-0,04;0,95;0,05;0,00;;;94.634.668,61
BRDT3;21,60;2,15;12,79;2,80;0,87;5,67;1,41;2,10;19,08;22,37;3,29;0,48;0,27;3,64;-1,83;1,85;21,87;6,83;1,76;0,31;0,69;3,25;-0,73;14,51;190.762.732,72
BRFS3;22,16;;14,16;2,65;0,38;25,15;9,56;3,63;5,38;9,77;4,39;2,16;0,51;5,72;-0,65;1,19;18,71;2,69;11,11;0,14;0,86;0,74;2,89;-33,13;244.756.864,11
BRGE11;16,00;2,18;15,00;0,66;0,38;-233,11;-1,67;268,48;-2.409,70;;1.169,06;-0,32;40,26;-4,14;-0,55;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;10.543,00
BRGE12;6,69;;6,27;0,27;0,16;-233,11;-1,67;268,48;-1.007,55;;1.169,06;-0,32;16,83;-1,73;-0,23;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;24.606,42
BRGE3;10,50;;9,84;0,43;0,25;-233,11;-1,67;268,48;-1.581,36;;1.169,06;-0,32;26,42;-2,71;-0,36;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;12.983,36
BRGE5;21,50;1,35;20,15;0,88;0,51;-233,11;-1,67;268,48;-3.238,03;;1.169,06;-0,32;54,10;-5,56;-0,73;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;29.783,33
BRGE6;11,51;6,05;10,79;0,47;0,27;-233,11;-1,67;268,48;-1.733,48;;1.169,06;-0,32;28,96;-2,97;-0,39;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;3.453,00
BRGE7;5,40;7,52;5,06;0,22;0,13;-233,11;-1,67;268,48;-813,27;;1.169,06;-0,32;13,59;-1,40;-0,18;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;
BRGE8;7,20;4,03;6,75;0,30;0,17;-233,11;-1,67;268,48;-1.084,36;;1.169,06;-0,32;18,12;-1,86;-0,25;0,77;4,38;2,53;-0,63;0,58;0,42;0,01;3,11;2,66;5.665,08
BRIV3;8,50;;11,91;0,50;0,06;21,41;7,56;5,71;8,98;8,71;;;0,68;0,56;-0,16;1,18;4,22;0,47;;0,11;0,89;0,08;-6,24;0,83;7.486,24
BRIV4;7,85;7,08;11,00;0,46;0,05;21,41;7,56;5,71;8,29;8,71;;;0,63;0,52;-0,14;1,18;4,22;0,47;;0,11;0,89;0,08;-6,24;0,83;42.576,62
BRKM3;25,75;3,26;-2,47;-7,16;0,27;11,65;-3,45;-15,99;-11,44;;-14,76;;0,40;3,51;-0,40;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;761.562,97
BRKM5;24,85;3,37;-2,38;-6,91;0,26;11,65;-3,45;-15,99;-11,04;;-14,76;;0,38;3,39;-0,39;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;117.124.725,67
BRKM6;19,01;3,19;-1,82;-5,29;0,20;11,65;-3,45;-15,99;-8,44;;-14,76;;0,29;2,59;-0,29;1,29;289,77;-10,76;-14,90;-0,04;1,04;0,67;3,00;;2.243,60
BRML3;10,48;7,88;6,80;0,78;0,48;89,40;159,17;108,24;4,62;5,69;1,07;0,18;7,36;12,26;-0,51;2,72;11,51;7,05;10,48;0,61;0,39;0,07;-1,04;18,24;163.883.064,56
BRPR3;9,25;0,93;9,21;0,63;0,46;100,00;213,72;138,29;5,96;6,66;0,70;0,07;12,74;3,83;-0,54;5,15;6,84;4,97;7,88;0,73;0,27;0,04;-14,64;3,09;33.185.210,22
BRQB3;0,00;;0,00;0,00;0,00;31,34;11,57;7,65;0,00;-1,10;-1,10;-0,46;0,00;0,00;0,00;2,94;27,79;12,66;17,67;0,46;0,54;1,65;-0,37;100,11;
BRSR3;17,97;5,35;5,73;0,91;0,09;43,04;13,62;13,17;5,54;;;;0,76;1,43;-2,52;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;1.258.410,86
BRSR5;22,50;4,52;7,18;1,14;0,11;43,04;13,62;13,17;6,94;;;;0,95;1,79;-3,16;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;148.393,93
BRSR6;14,69;6,55;4,69;0,74;0,07;43,04;13,62;13,17;4,53;;;;0,62;1,17;-2,06;1,07;15,89;1,55;;0,10;0,90;0,12;1,64;15,38;38.811.894,78
BSEV3;3,67;;-4,82;16,36;0,36;14,29;6,30;-13,09;10,02;25,10;15,08;24,62;0,63;19,10;-0,54;1,06;-339,41;-7,57;5,24;0,02;0,98;0,58;7,87;;377.245,17
BSLI3;141,00;1,79;11,11;2,91;0,29;72,25;26,42;19,74;8,30;7,15;;;2,19;-1,19;-0,41;0,54;26,19;2,63;;0,10;0,90;0,13;5,10;12,95;22.479,00
BSLI4;55,11;5,03;4,34;1,14;0,11;72,25;26,42;19,74;3,24;7,15;;;0,86;-0,46;-0,16;0,54;26,19;2,63;;0,10;0,90;0,13;5,10;12,95;11.022,00
BTOW3;104,60;;-190,72;9,72;3,39;29,67;1,59;-4,00;479,79;481,88;2,10;0,04;7,62;10,99;-8,20;2,11;-5,10;-1,78;-0,04;0,35;0,65;0,45;-3,20;;453.851.932,11
BTTL3;6,11;;10,77;9,26;0,67;15,54;3,79;1,86;5,29;7,30;2,02;3,53;0,20;-22,09;-1,07;0,93;85,93;6,18;28,74;0,07;0,93;3,32;-11,43;;17.415,41
BTTL4;11.091,73;;19.559,68;16.807,32;1.209,22;15,54;3,79;1,86;9.600,97;7,30;2,02;3,53;364,09;-40.094,72;-1.947,88;0,93;85,93;6,18;28,74;0,07;0,93;3,32;-11,43;;9.388.768.360,00
CALI3;98,18;;-2,37;13,04;0,45;-56,28;-318,34;-300,62;-2,23;-1,50;0,01;-0,05;7,11;1,16;-0,99;3,39;-551,34;-18,90;-463,36;0,03;0,97;0,06;-38,15;;
CALI4;50,21;;-1,21;6,67;0,23;-56,28;-318,34;-300,62;-1,14;-1,50;0,01;-0,05;3,64;0,59;-0,51;3,39;-551,34;-18,90;-463,36;0,03;0,97;0,06;-38,15;;25.105,00
CAMB3;5,09;;8,96;2,61;0,86;45,05;16,70;10,95;5,88;7,55;1,67;0,74;0,98;13,26;-1,60;1,16;29,12;9,56;19,23;0,33;0,67;0,87;-4,98;7,64;1.895.974,67
CAMB4;6,25;;11,00;3,20;1,05;45,05;16,70;10,95;7,22;7,55;1,67;0,74;1,21;16,29;-1,96;1,16;29,12;9,56;19,23;0,33;0,67;0,87;-4,98;7,64;453.862,40
CAML3;10,63;1,85;16,41;1,75;0,82;23,18;5,53;4,44;13,19;16,96;3,77;0,50;0,73;2,70;-1,86;2,17;10,65;4,98;7,47;0,47;0,53;1,12;7,98;17,95;15.687.888,17
CARD3;13,21;2,36;17,46;2,09;1,14;26,47;11,71;7,14;10,64;12,20;1,56;0,31;1,25;-160,33;-1,56;0,97;11,96;6,55;11,33;0,55;0,45;0,92;1,77;18,99;3.491.155,89
CASN3;18,00;;107,55;10,24;3,62;55,08;24,13;10,65;47,45;39,49;4,06;0,88;11,45;98,61;-4,26;1,32;9,52;3,36;8,24;0,35;0,65;0,32;8,58;9,88;
CASN4;8,88;;53,06;5,05;1,78;55,08;24,13;10,65;23,41;39,49;4,06;0,88;5,65;48,65;-2,10;1,32;9,52;3,36;8,24;0,35;0,65;0,32;8,58;9,88;1.100,00
CATA3;0,00;;0,00;0,00;0,00;12,93;-6,69;4,12;0,00;-2,88;-2,88;0,25;0,00;0,00;0,00;2,17;5,32;3,16;-6,43;0,59;0,41;0,77;-1,79;-8,60;
CATA4;0,00;;0,00;0,00;0,00;12,93;-6,69;4,12;0,00;-2,88;-2,88;0,25;0,00;0,00;0,00;2,17;5,32;3,16;-6,43;0,59;0,41;0,77;-1,79;-8,60;
CBEE3;16,35;2,43;9,45;0,74;0,25;16,61;10,16;4,90;4,56;11,48;6,92;1,12;0,46;-2,49;-0,34;0,72;7,82;2,64;5,56;0,34;0,66;0,54;5,20;7,47;35.605,82
CCPR3;16,00;0,30;23,02;0,83;0,50;65,17;57,18;23,50;9,46;12,08;2,62;0,23;5,41;3,77;-0,61;4,32;3,59;2,19;5,02;0,61;0,39;0,09;4,28;-8,25;6.732.522,33
CCRO3;14,70;5,19;22,09;3,27;0,88;41,71;32,72;12,42;8,39;12,32;3,93;1,53;2,74;-100,47;-1,12;0,96;14,79;3,97;9,42;0,27;0,73;0,32;7,44;1,11;144.648.805,83
CCXC3;1,16;;-0,46;-0,04;0,20;;;;-0,74;-0,72;0,02;;;-0,04;;0,16;8,09;-43,42;4,96;-5,37;6,37;0,00;;;45.760,33
CEAB3;10,96;2,31;20,45;1,25;0,58;48,71;7,13;3,16;9,07;12,89;3,82;0,52;0,65;5,76;-0,90;1,40;6,09;2,85;7,79;0,47;0,53;0,90;;;33.556.950,72
CEBR3;59,90;;4,52;0,85;0,24;18,07;10,95;6,03;2,49;;0,21;0,07;0,27;6,36;-0,44;1,09;18,77;5,37;20,38;0,29;0,71;0,89;6,64;;251.743,33
CEBR5;77,20;;5,83;1,09;0,31;18,07;10,95;6,03;3,21;;0,21;0,07;0,35;8,20;-0,57;1,09;18,77;5,37;20,38;0,29;0,71;0,89;6,64;;17.191,17
CEBR6;67,99;;5,13;0,96;0,28;18,07;10,95;6,03;2,83;;0,21;0,07;0,31;7,22;-0,50;1,09;18,77;5,37;20,38;0,29;0,71;0,89;6,64;;126.595,50
CEDO3;12,54;;-9,03;0,64;0,17;11,24;2,32;-2,05;7,98;20,55;13,83;1,12;0,19;-12,04;-0,30;0,97;-7,13;-1,90;1,46;0,27;0,73;0,92;3,73;;98.451,73
CEDO4;7,91;;-5,70;0,41;0,11;11,24;2,32;-2,05;5,04;20,55;13,83;1,12;0,12;-7,59;-0,19;0,97;-7,13;-1,90;1,46;0,27;0,73;0,92;3,73;;113.064,14
CEEB3;41,00;2,69;10,21;1,95;0,53;23,48;16,64;10,33;6,34;;4,71;1,45;1,05;9,51;-0,70;1,28;19,13;5,15;10,59;0,27;0,73;0,50;12,72;16,24;9.677,06
CEEB5;41,00;2,69;10,21;1,95;0,53;23,48;16,64;10,33;6,34;;4,71;1,45;1,05;9,51;-0,70;1,28;19,13;5,15;10,59;0,27;0,73;0,50;12,72;16,24;19.965,33
CEEB6;17.182,20;0,01;4.277,33;818,19;220,22;23,48;16,64;10,33;2.656,86;;4,71;1,45;442,02;3.983,54;-294,50;1,28;19,13;5,15;10,59;0,27;0,73;0,50;12,72;16,24;4.698.131.208,70
CEED3;88,00;;-0,63;-0,21;0,21;0,06;-12,95;-39,14;-1,92;-4,12;-2,20;;0,25;-0,25;-0,29;0,26;32,79;-32,50;15,19;-0,99;1,99;0,83;3,53;;23.715,14
CEED4;110,00;;-0,79;-0,26;0,26;0,06;-12,95;-39,14;-2,40;-4,12;-2,20;;0,31;-0,31;-0,36;0,26;32,79;-32,50;15,19;-0,99;1,99;0,83;3,53;;11.000,00
CEGR3;60,10;2,43;74,94;17,09;4,81;24,66;9,78;4,59;35,22;37,43;2,21;1,07;3,44;-45,83;-5,97;0,65;22,80;6,42;19,17;0,28;0,72;1,40;5,62;3,05;11.002,00
CEPE3;0,00;;0,00;0,00;0,00;17,45;9,46;3,04;0,00;;8,79;2,99;0,00;0,00;0,00;0,95;10,92;2,03;7,12;0,19;0,81;0,67;9,02;6,60;
CEPE5;25,05;5,03;10,26;1,12;0,21;17,45;9,46;3,04;3,29;;8,79;2,99;0,31;-12,16;-0,31;0,95;10,92;2,03;7,12;0,19;0,81;0,67;9,02;6,60;7.515,00
CEPE6;20,00;6,93;8,19;0,90;0,17;17,45;9,46;3,04;2,63;;8,79;2,99;0,25;-9,71;-0,24;0,95;10,92;2,03;7,12;0,19;0,81;0,67;9,02;6,60;18.000,00
CESP3;32,03;5,78;7,63;1,49;0,80;42,22;50,40;82,03;12,42;;1,03;0,12;6,26;42,33;-0,89;1,23;19,52;10,48;-1,57;0,54;0,46;0,13;-20,20;15,73;450.840,78
CESP5;29,60;6,25;7,05;1,38;0,74;42,22;50,40;82,03;11,47;;1,03;0,12;5,78;39,11;-0,82;1,23;19,52;10,48;-1,57;0,54;0,46;0,13;-20,20;15,73;47.926,60
CESP6;28,71;6,44;6,84;1,33;0,72;42,22;50,40;82,03;11,13;;1,03;0,12;5,61;37,94;-0,80;1,23;19,52;10,48;-1,57;0,54;0,46;0,13;-20,20;15,73;73.120.583,86
CGAS3;193,90;8,14;16,62;33,66;3,03;34,28;24,67;15,84;10,67;;1,91;6,02;2,63;282,77;-4,30;1,04;202,51;18,25;27,94;0,09;0,91;1,15;8,30;17,45;54.144,87
CGAS5;179,55;9,67;15,39;31,17;2,81;34,28;24,67;15,84;9,88;;1,91;6,02;2,44;261,84;-3,98;1,04;202,51;18,25;27,94;0,09;0,91;1,15;8,30;17,45;647.492,94
CGRA3;25,94;6,75;4,03;0,89;0,60;53,38;20,31;26,94;5,34;4,63;-0,72;-0,12;1,09;2,73;-1,06;2,07;22,09;14,97;11,56;0,68;0,32;0,56;3,42;16,83;46.715,64
CGRA4;26,00;6,74;4,04;0,89;0,60;53,38;20,31;26,94;5,36;4,63;-0,72;-0,12;1,09;2,73;-1,06;2,07;22,09;14,97;11,56;0,68;0,32;0,56;3,42;16,83;201.353,97
CIEL3;5,38;2,36;12,20;1,58;0,17;46,45;22,14;23,59;13,00;13,31;0,31;0,04;2,88;2,21;-1,16;1,10;12,95;1,42;4,32;0,11;0,89;0,06;7,99;-11,13;202.009.099,92
CLSC3;55,00;3,18;5,98;1,37;0,23;13,04;7,15;4,44;3,71;5,83;2,23;0,82;0,27;4,09;-0,32;1,23;22,88;3,77;13,06;0,16;0,84;0,85;4,99;-11,18;22.937,00
CLSC4;52,50;3,67;5,71;1,31;0,21;13,04;7,15;4,44;3,54;5,83;2,23;0,82;0,25;3,91;-0,31;1,23;22,88;3,77;13,06;0,16;0,84;0,85;4,99;-11,18;974.551,22
CMIG3;12,35;2,22;7,92;1,14;0,36;22,03;9,57;8,90;7,37;12,50;5,50;0,85;0,71;6,61;-0,45;1,35;14,36;4,51;4,16;0,31;0,69;0,51;5,38;-0,06;24.182.069,42
CMIG4;11,41;2,40;7,32;1,05;0,33;22,03;9,57;8,90;6,81;12,50;5,50;0,85;0,65;6,11;-0,42;1,35;14,36;4,51;4,16;0,31;0,69;0,51;5,38;-0,06;140.949.030,25
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;1,01;1,01;-1,28;;0,00;0,00;262,56;-122,42;-92,61;-126,18;0,76;0,24;0,00;;;
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;1,01;1,01;-1,28;;0,00;0,00;262,56;-122,42;-92,61;-126,18;0,76;0,24;0,00;;;
CNSY3;70.379,80;;2.849.145,70;54.396,08;10.843,06;23,70;5,02;0,47;267.665,04;267.677,15;12,11;2,46;13.427,61;-57.931,01;-11.804,25;0,30;1,91;0,38;4,94;0,20;0,80;0,81;19,24;;1.421.741.060,35
CNTO3;33,90;;26,38;6,99;2,08;49,45;18,41;12,17;17,43;17,28;-0,15;-0,06;3,21;17,50;-3,44;1,43;26,50;7,87;30,84;0,30;0,70;0,65;;;79.781.072,33
COCE3;50,00;4,25;8,10;1,22;0,43;15,79;11,79;8,61;5,91;;3,72;0,76;0,70;43,37;-0,59;1,04;15,00;5,28;9,43;0,35;0,65;0,61;8,25;9,99;11.332,33
COCE5;58,00;3,66;9,40;1,41;0,50;15,79;11,79;8,61;6,86;;3,72;0,76;0,81;50,31;-0,68;1,04;15,00;5,28;9,43;0,35;0,65;0,61;8,25;9,99;2.011.873,17
COCE6;0,00;;0,00;0,00;0,00;15,79;11,79;8,61;0,00;;3,72;0,76;0,00;0,00;0,00;1,04;15,00;5,28;9,43;0,35;0,65;0,61;8,25;9,99;
COGN3;7,05;0,55;-291,62;0,72;0,36;59,20;11,52;-0,67;16,85;28,61;11,76;0,50;1,94;4,18;-0,44;1,97;-0,25;-0,13;2,45;0,50;0,50;0,19;13,24;-24,68;338.517.381,78
CORR3;12,00;;-0,16;-0,07;0,02;98,54;-96,28;-87,39;-0,15;1,02;1,62;;0,14;0,04;-0,07;22,21;43,86;-14,57;56,62;-0,33;1,33;0,17;-33,38;;
CORR4;69,00;;-0,92;-0,40;0,13;98,54;-96,28;-87,39;-0,83;1,02;1,62;;0,80;0,20;-0,43;22,21;43,86;-14,57;56,62;-0,33;1,33;0,17;-33,38;;10.850,00
CPFE3;30,55;;11,42;2,42;0,73;22,41;16,14;10,24;7,25;10,78;3,53;1,18;1,17;9,92;-1,01;1,36;21,20;6,40;9,31;0,30;0,70;0,62;11,46;25,40;143.653.787,28
CPLE3;61,74;3,63;6,57;0,93;0,44;27,65;19,90;12,62;4,16;;2,02;0,45;0,83;6,18;-0,56;1,53;14,21;6,72;10,77;0,47;0,53;0,53;3,14;9,08;24.383.289,42
CPLE5;42,24;9,34;4,49;0,64;0,30;27,65;19,90;12,62;2,85;;2,02;0,45;0,57;4,23;-0,38;1,53;14,21;6,72;10,77;0,47;0,53;0,53;3,14;9,08;
CPLE6;63,60;3,88;6,76;0,96;0,45;27,65;19,90;12,62;4,29;;2,02;0,45;0,85;6,36;-0,57;1,53;14,21;6,72;10,77;0,47;0,53;0,53;3,14;9,08;109.322.231,89
CPRE3;18,20;;55,63;2,06;0,80;45,86;29,64;8,62;16,18;23,10;6,92;0,88;4,80;-48,22;-0,91;0,88;3,70;1,44;5,56;0,39;0,61;0,17;9,10;;9.027,19
CRDE3;21,10;58,70;-12,61;0,39;0,30;73,62;-24,61;-66,40;-34,03;3,80;37,83;-0,43;8,37;1,02;-0,57;2,61;-3,06;-2,37;-1,41;0,77;0,23;0,04;11,36;;76.225,66
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;
